Conf,Ele,Desolv,VDW,Total,RANK
5843,-165.043,31.908,-16.538,-134.788,1
6668,-158.446,27.308,-3.928,-131.531,2
3553,-161.646,31.691,-14.159,-131.371,3
1966,-137.050,12.246,-35.898,-128.394,4
708,-153.026,27.176,-16.959,-127.546,5
3486,-149.334,25.677,-26.095,-126.267,6
1328,-153.595,29.302,-15.494,-125.842,7
252,-149.414,24.534,4.996,-124.381,8
1096,-158.043,25.013,91.258,-123.905,9
811,-138.584,17.405,-18.580,-123.037,10
6163,-138.937,19.824,-37.262,-122.839,11
2875,-150.030,23.384,38.604,-122.786,12
7163,-141.479,20.420,-14.368,-122.496,13
3561,-138.327,16.869,1.700,-121.288,14
1440,-129.771,5.031,38.029,-120.938,15
944,-143.046,24.438,-15.255,-120.133,16
9429,-144.207,24.252,0.922,-119.862,17
3315,-138.644,18.756,1.283,-119.759,18
1537,-140.829,23.657,-23.604,-119.532,19
4062,-148.197,26.510,21.585,-119.529,20
3079,-150.299,30.669,1.083,-119.523,21
1983,-143.776,23.345,11.900,-119.241,22
3291,-144.077,24.322,10.034,-118.751,23
8881,-138.266,20.317,-7.991,-118.749,24
873,-119.819,1.512,-3.152,-118.623,25
5096,-128.409,9.887,-0.567,-118.579,26
100,-130.585,12.065,4.751,-118.045,27
2324,-131.534,11.790,18.474,-117.896,28
874,-139.751,23.155,-12.286,-117.825,29
809,-137.051,19.050,6.040,-117.397,30
2454,-134.894,16.459,10.869,-117.349,31
303,-137.571,20.881,-6.572,-117.347,32
179,-129.776,15.405,-27.427,-117.113,33
3809,-137.775,22.749,-19.673,-116.994,34
9489,-130.448,12.581,10.328,-116.835,35
2690,-122.122,5.195,4.676,-116.459,36
237,-139.979,23.059,5.065,-116.413,37
6682,-121.189,2.361,24.667,-116.361,38
9456,-136.652,22.897,-26.037,-116.358,39
3258,-121.582,8.126,-28.996,-116.356,40
2879,-136.053,21.580,-16.533,-116.126,41
7585,-132.165,16.675,-5.192,-116.009,42
1244,-126.776,9.662,11.072,-116.007,43
6241,-136.746,25.640,-45.050,-115.611,44
1452,-139.590,27.151,-30.873,-115.526,45
2179,-132.206,13.867,30.215,-115.317,46
488,-125.930,11.750,-10.503,-115.230,47
4121,-120.153,3.971,10.795,-115.103,48
5358,-131.855,20.818,-40.048,-115.041,49
1555,-130.697,14.918,9.978,-114.782,50
